Sentence,types,Sentiment,levels
เสริมเสน่ห์ให้คนหลงใหล ก่อนออกจากบ้าน โบราณว่าให้ทำแบบนี้ #โมเดอร์นา https://t.co/jcmmXxnfKO,อื่นๆ,ไม่เดือดร้อน,0
หมดโควิดก็ขยายมอให้หน่อยนะคะ เด็กแดกกันรอบมออร่อยละค่าาา,อื่นๆ,ไม่เดือดร้อน,0
@_Madambeau เราก้อคิดว่างั้นเดี๋ยวไม่มีโควิดคงทัวร์กันกระจายทั่วโลกแน่ สเกลคอนก้อต้องใหญ่กว่าเดิมด้วย ลูกเราต้องรวยค่ะ😍,อื่นๆ,เดือดร้อน,1
เรื่องจริงป่ะเนี้ยยย ถ้าจริงเหี้ยนะ กุเสียตังจ่ายเอง เพื่อได้วัคซีนดีๆ มึงจะมา VVIP กับความเป็นความตายของคนแบบนี้อ่ะหรอ??? #โมเดอร์นา https://t.co/VVOEf2vnDo,วัคซีน,เดือดร้อน,1
@UUUPPP11 นโยบายระยะสั้นออกจากวิกฤติโควิดที่ทำได้ใน3-6เดือนครับ,ความเป็นอยู่,ไม่เดือดร้อน,0
@PuiDoubtful ทัวร์ไม่มีโควิดก้อมารัวๆแล้ว ยอดบั้มยอดสปอยูทูปดิจิรวมๆห้าบาทสิบบาท อีกสองปีสเกลคอนก้อยิ่งใหญ่ขึ้นไปอีก,อื่นๆ,ไม่เดือดร้อน,0
@TeamOrangeParty ให้ดูพรรคกล้า ไทยสร้างไทย พท และ ปชป เป็นตัวอย่างครับพวกนี้เริ่มฟอร์มนโยบายหลังโควิดเพื่อออกจากวิกฤติแล้ว ถึงแม้บางพรรคจะเด๋อๆไปหน่อยเวลานำเสนอทางออกแต่ก็นั้นแหละคือเขาเห็นละว่านับจากนี้คือการออกและฟื้นจากวิกฤตเรื่องปฏิรูปเป็นเรื่องรองหรือไม่สำคัญสำหรับบางพรรคด้วยซ้ำ,ความเป็นอยู่,เดือดร้อน,2
"คนดีที่ไหนไม่ต้องมาน่ะดีแล้วคนดีอื่นๆมาเด่นแต่พี่JJจะดับมากด
ภาพลักษณ์ซุปตาร์ตกลงไปด้วยภาพเชิงลบๆช่วงCOVID-19เงียบ
2ปีแต่พี่JJมีงานเรื่อยๆซุปตาร์รายอื่นๆก็เงียบจังหวะดีที่จะผงาด
ทำไมต้องเอาคนดีที่ไหนมาทำให้สะดุดจะแรงก็แรงให้สุดทั้งIG.
ทวิต+FB POSTเรื่อยๆFCติดตามได้ไม่พึ่งนักข่าว",อื่นๆ,ไม่เดือดร้อน,0
ร้านนี้คืออร่อย คิดว่าถ้าโควิดหายต้องไปจัดอีกแน่นอน แต่ตอนนี้ไม่มีอีกแล้ว อกหักอีกแล้วววววว https://t.co/KdLLsmLCFF https://t.co/xHrQVKt9cE,ไม่สบายใจ,ไม่เดือดร้อน,0
ตัวอย่างนโยบายระยะสั้น3-6เดือนในการพาประเทศออกจากวิกฤติโควิดให้เร่งฟื้นตัวอย่างนโยบายการจ้างงานการเข้าถึงแหล่งทุนการส่งเสริมผู้ประกอบการรายใหม่และลดขั้นตอนทางราชการไปจนถึงลดกำลังของราชการลง พรรคที่เริ่มมีการฟอร์มนโยบายแล้วก็มีพรรคไทยสร้างไทย ปชป และ พท,ความเป็นอยู่,ไม่เดือดร้อน,0
หาทำยามดึก​ 😘💚✨ รอบนี้คนที่ได้โพลาลอยด์​คราวที่แล้วจะส่งไปพร้อมของแจกวันเกิดเลยนะ☺️ คราวที่แล้วติดไปรษณีย์​ปิดโควิดลากยาวมาจนตอนนี้ไม่ได้ส่ง🙏🏻😉 #เติ้งหลุน https://t.co/zhjdysoTob,อื่นๆ,ไม่เดือดร้อน,0
เบื่อจังอะ เศรษฐกิจ​กับโควิดขัดขวางการใช้ชีวิตมากแต่มันคงดีกว่านี้ถ้ามีผู้นำที่สามารถลดปัญหาเหล่านี้ได้บ้าง ไม่ใช้หาแต่เรื่อง😢😢,ไม่สบายใจ,เดือดร้อน,2
ขอเงินคืน  #โมเดอร์นา,วัคซีน,เดือดร้อน,1
"Merck เตรียมออกยารักษาโควิดแล้ว 
หลังผลการรักษาเฟส 3 ลดความเสี่ยงเข้ารพ.ได้ 50% https://t.co/mAKfvF3KuF",การรักษา,ไม่เดือดร้อน,0
อยากได้เงินคืนมากกว่าอยากได้ วัคซีนโกหก #โมเดอร์นา,วัคซีน,เดือดร้อน,1
